courseType,courseName,subject,academyName,city,startDate,endDate,eduCost,regDeadline,courseLanguages,levelGerman,levelEnglish,courseBeginning,typeCourseDate,costPosition,tuitionFees,isElearning,preparationForDegree,prepForSubjectGroups,applicationDeadline,onlinePossible,badgeLabel,financialSupport,structuredResearch,supportInternationalStudents,typeOfElearning,courseLink
2,Linguistic Data Science (MA),General and Comparative Literature and Linguistics,Ruhr-Universität Bochum,Bochum,[],[],[],[],['English'],,,Winter semester,,,none,False,,,"<p><strong>If you are a German student </strong> and/or <strong> have a first degree from a German university</strong>, you can apply directly with us by sending all the required documents (see below) to <a href=""mailto:application-lds@rub.de"">application-lds@rub.de</a>.</p>

<p>Please note that if your application arrives after 1 September, we cannot guarantee that we can arrange for the mandatory consultation with the advisory office in time for regular enrolment. Late enrolment may result in late fees.</p>

<p><strong>If you are an international student,</strong> i.e. you have neither German citizenship nor a Bachelor&#39;s from a German university, note that you can apply for the winter semester from the beginning of June and always only before 15 July. Your application has to be organised by the <a href=""https://studium.ruhr-uni-bochum.de/en/internationals-application-masters-degree"">International Office</a>.</p>",True,Partly online,,,['Welcome event | Tutors | Accompanying programme | Specialist counselling | Visa matters'],"['1', '4', '6', '9', '10', '11', '15']",/deutschland/studienangebote/international-programmes/en/detail/8359/
2,Linguistics (MA),Languages and Cultural Studies in general,University of Göttingen,Göttingen,[],[],[],[],['English'],,,"Winter semester, Summer semester",,,none,False,,,"<p><a href=""https://www.uni-goettingen.de/en/103531.html"">https://www.uni-goettingen.de/en/103531.html</a></p>",False,,,,['Buddy programme | Pick-up service'],[],/deutschland/studienangebote/international-programmes/en/detail/7643/
2,Linguistics: Empirical and Theoretical Foundations,General and Comparative Literature and Linguistics,University of Potsdam,Potsdam,[],[],[],[],['English'],,,Winter semester,,,none,False,,,"<p>Please visit our <a href=""https://www.uni-potsdam.de/en/studium/application-enrollment/application-master"">website</a>.</p>",False,,,,['Welcome event | Buddy programme | Tutors | Specialist counselling | Visa matters'],[],/deutschland/studienangebote/international-programmes/en/detail/7033/
56,Literature and Media Translation,Translation and Interpretation,Johannes Gutenberg University Mainz,Germersheim,['2024-07-22'],['2024-07-26'],[200],['Not Available'],['German'],"['B2', 'C1', 'C2']",,,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/5498/
2,Logistics and Supply Chain Management (LSCM),Engineering in general,Technical University of Applied Sciences Wildau,Wildau,[],[],[],[],['English'],,,Winter semester,,,,False,,,"<p>31 August, pre-enrolment starting in January</p>

<p>Incoming applications are reviewed continuously (rolling admission).</p>

<p><strong>Caution:</strong> All admission and enrolment procedures will be handled by the <strong>Universitat Aut&ograve;noma de Barcelona</strong>. In order to apply for the programme, you MUST follow the procedure from the programme&rsquo;s website <a href=""http://www.master-lscm.eu"">www.master-lscm.eu</a>.</p>",False,,,,['Welcome event | Buddy programme | Cultural and linguistic preparation'],[],/deutschland/studienangebote/international-programmes/en/detail/6229/
2,Logistics Management (MBA),Business and Economics,Dresden International University,Dresden,[],[],[],[],['English'],,,"Winter semester, Summer semester",,,"5,500",False,,,"<p>30 August&nbsp;for the following winter semester, 28 February for the following summer semester</p>",False,,,,['Welcome event | Visa matters | Pick-up service | Help with finding accommodation | Support with registration procedures'],[],/deutschland/studienangebote/international-programmes/en/detail/4731/
6,Lower Saxony International Summer Academy (LISA),Biology,Hannover Medical School,Hannover,['2024-08'],['2024-09'],[300],['2024-04-30'],['English'],,['B2'],,The date of the course has been set approximately (month),,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/5005/
2,Luxury Management (MSc),Business and Economics,Hochschule Fresenius - University of Applied Sciences,Köln,[],[],[],[],['English'],,,Winter semester,,,"5,280",False,,,<p>It is possible to submit applications all year round.</p>,False,,,,['Welcome event | Buddy programme'],[],/deutschland/studienangebote/international-programmes/en/detail/8993/
2,M.I.N.C. – Master of International Nature Conservation (MSc),Biology,University of Göttingen,Göttingen,[],[],[],[],['English'],,,Winter semester,,,varied,False,,,<p>1 April &ndash; 15 May</p>,False,,,,['Welcome event | Pick-up service'],[],/deutschland/studienangebote/international-programmes/en/detail/6082/
2,MA 3D Animation for Film & Games,Design,ifs Internationale Filmschule Köln,Köln,[],[],[],[],['English'],,,Winter semester,,,"1,500",False,,,"<p><strong>More information: <a href=""https://www.filmschule.de/en/studies/ma-3d-animation-film-games"">https://www.filmschule.de/en/studies/ma-3d-animation-film-games</a></strong></p>",False,,,,['Tutors'],[],/deutschland/studienangebote/international-programmes/en/detail/5308/
2,MA Animation and Game Direction,Design,Darmstadt University of Applied Sciences,Dieburg,[],[],[],[],['English'],,,"Winter semester, Summer semester",,,none,False,,,"<p>FOR APPLICANTS WITH AN INTERNATIONAL&nbsp;UNDERGRADUATE DEGREE:<br />
Winter semester: 1 June, Summer semester: 1 December</p>

<p>FOR APPLICANTS WITH A GERMAN BACHELOR&#39;S DEGREE OR DIPLOMA:<br />
Winter semester: 1 August, Summer semester: 1 February</p>",False,,,,['Tutors'],[],/deutschland/studienangebote/international-programmes/en/detail/6274/
2,MA Border Studies,Languages and Cultural Studies in general,Saarland University,Saarbrücken,[],[],[],[],"['German', 'English', 'French']",,,Winter semester,,,none,False,,,"<p>The application deadlines for 2024 will be published here:<br />
<a href=""http://www.uni-gr.eu/en/Master_Border_Studies"">http://www.uni-gr.eu/en/Master_Border_Studies</a></p>",False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/5267/
2,MA Business Management,Business and Economics,University of Applied Management Studies,Mannheim,[],[],[],[],['English'],,,"Winter semester, Summer semester",,,"2,070",False,,,"<p>You can apply up to one year in advance.</p>

<p>For non-EU citizens, we recommend to apply no later than three months before the beginning of the semester. Due to the visa application process, you might not be able to start your studies in the desired semester.</p>

<p>Please check the website of the German embassy of your country for more information about the visa process.</p>",True,Hybrid,,,['Welcome event | Buddy programme | Specialist counselling'],"['9', '10', '15']",/deutschland/studienangebote/international-programmes/en/detail/6404/
2,"MA Culture – Language – Media (Kultur – Sprache – Medien, KSM)",Languages and Cultural Studies in general,Europa-Universität Flensburg,Flensburg,[],[],[],[],"['German', 'English']",,,Winter semester,,,none,False,,,<p>Applications are open from 15 January until 15 July.</p>,False,,,,['Buddy programme | Specialist counselling | Visa matters | Pick-up service | Tutors | Accompanying programme | Cultural and linguistic preparation'],[],/deutschland/studienangebote/international-programmes/en/detail/6136/
2,MA Design & Innovation Management,Design,FOM University of Applied Sciences,Essen,[],[],[],[],['English'],,,"Winter semester, Summer semester",,,,False,,,"<p>1 August for the following winter semester<br />
1 January for the following summer semester</p>",False,,,,['Welcome event | Buddy programme | Accompanying programme | Cultural and linguistic preparation | Visa matters'],[],/deutschland/studienangebote/international-programmes/en/detail/9006/
2,MA Development Economics and International Studies (DEIS),"Law, Economics and Social Sciences in general",FAU Erlangen-Nürnberg,Erlangen,[],[],[],[],['English'],,,Winter semester,,,none,False,,,<p>EU / non-EU applicants: 15 July</p>,False,,,,['Welcome event | Buddy programme | Visa matters'],[],/deutschland/studienangebote/international-programmes/en/detail/4265/
2,MA Digital Narratives,"Art, Art Theory in general",ifs Internationale Filmschule Köln,Köln,[],[],[],[],['English'],,,Winter semester,,,"3,750",False,,,"<p><a href=""https://www.filmschule.de/en/studies/ma-digital-narratives"">https://www.filmschule.de/en/studies/ma-digital-narratives</a></p>",True,Partly online,,,['Tutors'],['9'],/deutschland/studienangebote/international-programmes/en/detail/4658/
2,MA Double Degree Philosophy,Philosophy,University of Bamberg,Bamberg,[],[],[],[],"['German', 'English', 'Italian']",,,"Winter semester, Summer semester",,,none,False,,,"<p>For international students: 15 July (winter semester) / 15 January (summer semester)<br />
For further information, please see:<br />
<a href=""https://www.uni-bamberg.de/studies/non-exchange-students-masters-degree/application-process/"" target=""_blank"">https://www.uni-bamberg.de/studies/non-exchange-students-masters-degree/application-process/</a></p>

<p>For German students: Application deadlines vary.<br />
Check here for further information:<br />
<a href=""https://www.uni-bamberg.de/studium/interesse/bewerben/bewerbung-fuer-einen-masterstudiengang/masterstudiengaenge/bewerbungsfristen/"" target=""_blank"">https://www.uni-bamberg.de/studium/interesse/bewerben/bewerbung-fuer-einen-masterstudiengang/masterstudiengaenge/bewerbungsfristen/</a></p>",False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/4862/
2,MA East European Studies (Munich/Regensburg),History,Ludwig-Maximilians-Universität München,München,[],[],[],[],"['German', 'English']",,,Winter semester,,,none,False,,,<p>15 June&nbsp;for the following winter semester</p>,False,,,,['Visa matters'],[],/deutschland/studienangebote/international-programmes/en/detail/4207/
2,MA English Studies,"English Studies, American Studies",FAU Erlangen-Nürnberg,Erlangen,[],[],[],[],['English'],,,Winter semester,,,none,False,,,<p>All applicants: 15 July</p>,False,,,,['Tutors'],[],/deutschland/studienangebote/international-programmes/en/detail/4144/
2,MA German as a Second and Foreign Language / Master of Arts Deutsch als Zweit- und Fremdsprache,"German Language and Literature (German, Germanic Languages except English)",Trier University,Trier,[],[],[],[],['German'],,,"Winter semester, Summer semester",,,none,False,,,"<p>Non-EU citizens:</p>

<ul>
	<li>15 January 2024 for the summer semester 2024 (admission also valid for the winter semester 2024/25)</li>
	<li>31 May 2024 for the winter semester 2024/25 (admission also valid for the summer semester 2025)</li>
</ul>

<p>EU citizens:</p>

<ul>
	<li>15 January 2024 for the summer semester 2024 (admission also valid for the winter semester 2024/25)</li>
	<li>15 July 2024 for the winter semester 2024/25 (admission also valid for the summer semester 2025)</li>
</ul>

<p>Applicants with a BA or MA degree from a German university:</p>

<ul>
	<li>15 March 2024 for the summer semester 2024 (admission also valid for the winter semester 2024/25)</li>
	<li>15 September 2024 for the winter semester 2024/25 (admission also valid for the summer semester 2025)</li>
</ul>",False,,,,['Welcome event | Buddy programme | Accompanying programme | Specialist counselling | Cultural and linguistic preparation | Visa matters'],[],/deutschland/studienangebote/international-programmes/en/detail/6967/
2,MA in European Studies/ LLM in European Legal Studies,Law,Universität Hamburg,Hamburg,[],[],[],[],['English'],,,Winter semester,,,"8,500",False,,,<p>Applications are welcome until 31 May 2024.</p>,False,,,,['Buddy programme'],['9'],/deutschland/studienangebote/international-programmes/en/detail/3646/
2,MA in Philosophy of Science,Philosophy,Leibniz Universität Hannover,Hannover,[],[],[],[],['English'],,,"Winter semester, Summer semester",,,none,False,,,"<p>Application deadline for EU applicants:</p>

<ul>
	<li>1 June to 15 July for the following winter semester</li>
	<li>1 December to 15 January for the following summer semester</li>
</ul>

<p>Application deadline for non-EU applicants:</p>

<ul>
	<li>15 April to 31 May for the following winter semester</li>
	<li>15 October to 30 November of the previous year for the following summer semester</li>
</ul>",False,,,,['Cultural and linguistic preparation'],[],/deutschland/studienangebote/international-programmes/en/detail/4878/
2,MA Interior Architecture / Interior Design,Design,Berlin International University of Applied Sciences,Berlin,[],[],[],[],['English'],,,Winter semester,,,varied,False,,,"<p><strong>Start in the summer semester </strong>(only for students transferring into a higher semester)<strong>:</strong><br />
1 December until 31 January</p>

<p><strong>Start in the winter semester </strong>(for new and transfer students)<strong>:</strong><br />
1 December until approximately 31 August</p>",False,,,,['Welcome event | Specialist counselling | Cultural and linguistic preparation | Visa matters | Buddy programme'],[],/deutschland/studienangebote/international-programmes/en/detail/8474/
